	adresa_mestskeho_uradu	adresa_obecniho_uradu	adresa_uradu_mestyse	casti_obce	historicka_zeme	jmeno	katastralni_uzemi	katastralni_vymera	kraj_(nuts_3)	lau_(obec)	nadmorska_vyska	obec_s_rozsirenou_pusobnosti	obec_s_rozsirenou_pusobnosti_a_poverena_obec	okres_(lau_1)	psc	pocet_obyvatel	poverena_obec	starosta	status	zakl_sidelni_jednotky	zemepisne_souradnice
0		Dobřív 30533844 Dobřív		2	Čechy	Dobřív	3	27,12 km²	Plzeňský (CZ032)	CZ0326 559776	417 m n. m.		Rokycany	Rokycany (CZ0326)	338 44	1 264 (2018)[1] (e)		Jiří Ondřejíček	obec	2	49°42′57″ s. š., 13°41′13″ v. d.
1		Bezděkov 8338 24 Břasy 1		1	Čechy	Bezděkov (okres Rokycany)	1	1,2 km²	Plzeňský (CZ032)	CZ0326 541095	468 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	137 (2018)[1] (e)	Radnice	Josef Král	obec	1	49°49′28″ s. š., 13°35′48″ v. d.
2		Břasy 350338 24 Břasy 1		5	Čechy	Břasy	4	21,5 km²	Plzeňský (CZ032)	CZ0326 559725	458 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	2 290 (2018)[1] (e)	Radnice	Ing. Mgr. Miroslav Kroc	obec	7	49°50′14″ s. š., 13°34′42″ v. d.
3		Březina 8833824 Břasy 1		1	Čechy	Březina (okres Rokycany)	1	7,62 km²	Plzeňský (CZ032)	CZ0326 559733	483 m n. m.		Rokycany	Rokycany (CZ0326)	338 24	357 (2018)[1] (e)		Radek Aubrecht	obec	1	49°48′27″ s. š., 13°35′49″ v. d.
4		Bujesily 133141 Kralovice		1	Čechy	Bujesily	1	6,2 km²	Plzeňský (CZ032)	CZ0326 559741	345 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	60 (2018)[1] (e)	Radnice	Ing. Pavel Trepeš	obec	1	49°54′53″ s. š., 13°34′28″ v. d.
5		Sedlecko 48Bušovice338 24 Břasy 1		3	Čechy	Bušovice	3	11,2 km²	Plzeňský (CZ032)	CZ0326 559750	380 m n. m.		Rokycany	Rokycany (CZ0326)	338 23	596 (2018)[1] (e)		Mgr. Luboš Pták	obec	3	49°47′44″ s. š., 13°32′5″ v. d.
6		Cekov 2333808 Zbiroh		1	Čechy	Cekov	1	4,29 km²	Plzeňský (CZ032)	CZ0326 559768	463 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	130 (2018)[1] (e)	Zbiroh	Josef Holub	obec	1	49°49′19″ s. š., 13°45′50″ v. d.
7		Čilá 633808 Zbiroh		1	Čechy	Čilá	1	1,9 km²	Plzeňský (CZ032)	CZ0326 540927	332 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	16 (2018)[1] (e)	Zbiroh	František Hájek	obec	1	49°57′42″ s. š., 13°44′32″ v. d.
8		Drahoňův Újezd 20338 08 Zbiroh		1	Čechy	Drahoňův Újezd	1	13,99 km²	Plzeňský (CZ032)	CZ0326 530379	410 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	132 (2018)[1] (e)	Zbiroh	Hana Brabcová	obec	1	49°52′38″ s. š., 13°43′33″ v. d.
9		Ejpovice 24337 01 Rokycany 1		1	Čechy	Ejpovice	1	7,69 km²	Plzeňský (CZ032)	CZ0326 559792	347 m n. m.		Rokycany	Rokycany (CZ0326)	337 01	676 (2018)[1] (e)		Jaromír Kalčík	obec	1	49°44′46″ s. š., 13°30′52″ v. d.
10		Hlohovice 80338 08 Zbiroh		4	Čechy	Hlohovice	4	18,11 km²	Plzeňský (CZ032)	CZ0326 559806	432 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	320 (2018)[1] (e)	Radnice	Marie Pflégrová	obec	4	49°53′22″ s. š., 13°38′36″ v. d.
11		Holoubkov 4833801 Holoubkov		1	Čechy	Holoubkov	1	4,21 km²	Plzeňský (CZ032)	CZ0326 559814	432 m n. m.		Rokycany	Rokycany (CZ0326)	338 01	1 435 (2018)[1] (e)		Ing. Lukáš Fišer	obec	1	49°46′34″ s. š., 13°41′33″ v. d.
12	Náměstí 8. května 270Nová Huť33842 Hrádek u Rokycan			2	Čechy	Hrádek (okres Rokycany)	2	6,05 km²	Plzeňský (CZ032)	CZ0326 559822	440 m n. m.		Rokycany	Rokycany (CZ0326)	338 42	2 850 (2018)[1] (e)		Jaroslav Perlík	město	2	49°42′36″ s. š., 13°39′15″ v. d.
13		Hradiště 3433808 Zbiroh		1	Čechy	Hradiště (okres Rokycany)	1	2,83 km²	Plzeňský (CZ032)	CZ0326 541001	317 m n. m.	Rokycany		Rokycany (CZ0326)	338 08 až 338 13	30 (2018)[1] (e)	Zbiroh	Pavel Šubrt	obec	1	49°57′47″ s. š., 13°43′4″ v. d.
14		Hůrky 5033701 Rokycany 1		1	Čechy	Hůrky	1	12,07 km²	Plzeňský (CZ032)	CZ0326 559849	469 m n. m.		Rokycany	Rokycany (CZ0326)	338 01	234 (2018)[1] (e)		Martin Polák	obec	1	49°44′45″ s. š., 13°40′59″ v. d.
15		Cheznovice 1633806 Cheznovice		1	Čechy	Cheznovice	1	7,8 km²	Plzeňský (CZ032)	CZ0326 559857	472 m n. m.		Rokycany	Rokycany (CZ0326)	338 06	731 (2018)[1] (e)		Josef Kolář	obec	1	49°46′44″ s. š., 13°47′8″ v. d.
16		Chlum 5533808 Zbiroh		1	Čechy	Chlum (okres Rokycany)	1	8,52 km²	Plzeňský (CZ032)	CZ0326 540803	441 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	45 (2018)[1] (e)	Radnice	Jiří Rys	obec	1	49°56′9″ s. š., 13°39′35″ v. d.
17		Chomle 19338 28 Radnice u Rokycan		1	Čechy	Chomle	1	2,24 km²	Plzeňský (CZ032)	CZ0326 541141	452 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	63 (2018)[1] (e)	Radnice	Jiří Mareš	obec	1	49°51′45″ s. š., 13°38′4″ v. d.
18		Kakejcov 333843 Mirošov 1		1	Čechy	Kakejcov	1	1,86 km²	Plzeňský (CZ032)	CZ0326 579017	518 m n. m.		Rokycany	Rokycany (CZ0326)	338 43	102 (2018)[1] (e)		Josef Brožík	obec	2	49°40′1″ s. š., 13°37′27″ v. d.
19		Kamenec 733828 Radnice u Rokycan		1	Čechy	Kamenec (okres Rokycany)	1	1,75 km²	Plzeňský (CZ032)	CZ0326 566811	362 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	67 (2018)[1] (e)	Radnice	Ivan Zeman	obec	1	49°52′52″ s. š., 13°35′47″ v. d.
20		Kamenný Újezd 18337 01 Rokycany 1		2	Čechy	Kamenný Újezd (okres Rokycany)	1	7,73 km²	Plzeňský (CZ032)	CZ0326 541150	378 m n. m.		Rokycany	Rokycany (CZ0326)	337 01 až 338 42	815 (2018)[1] (e)		Klára Macková	obec	1	49°43′26″ s. š., 13°37′8″ v. d.
21		Kařez 28338 08 Zbiroh		1	Čechy	Kařez	1	5,86 km²	Plzeňský (CZ032)	CZ0326 559903	452 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	674 (2018)[1] (e)	Zbiroh	Václav Krofta	obec	4	49°49′28″ s. š., 13°46′54″ v. d.
22		Kařízek 833808 Zbiroh		1	Čechy	Kařízek	1	4,45 km²	Plzeňský (CZ032)	CZ0326 530361	508 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	49 (2018)[1] (e)	Zbiroh	Josef Plecitý	obec	1	49°48′48″ s. š., 13°47′59″ v. d.
23		Klabava 1733841 Klabava		1	Čechy	Klabava (okres Rokycany)	1	1,54 km²	Plzeňský (CZ032)	CZ0326 559911	379 m n. m.		Rokycany	Rokycany (CZ0326)	338 41	464 (2018)[1] (e)		Pavel Kočárek	obec	1	49°45′13″ s. š., 13°32′22″ v. d.
24		Kladruby 1033808 Zbiroh		4	Čechy	Kladruby (okres Rokycany)	3	13,71 km²	Plzeňský (CZ032)	CZ0326 559920	385 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	169 (2018)[1] (e)	Radnice	Ing. Irena Reindlová	obec	4	49°54′47″ s. š., 13°37′54″ v. d.
25		Kornatice 2633843 Mirošov 1		1	Čechy	Kornatice	1	5,12 km²	Plzeňský (CZ032)	CZ0326 579033	413 m n. m.		Rokycany	Rokycany (CZ0326)	338 43	183 (2018)[1] (e)		Jindřich Šustr	obec	1	49°39′33″ s. š., 13°35′32″ v. d.
26		Obecní úřad Lhota pod RadčemLhota pod Radčem 59 337 01 Zbiroh		1	Čechy	Lhota pod Radčem	1	7,36 km²	Plzeňský (CZ032)	CZ0326 567001	498 m n. m.	Rokycany		Rokycany (CZ0326)	337 01	319 (2018)[1] (e)	Zbiroh	Jana Jinochová	obec	1	49°49′39″ s. š., 13°42′39″ v. d.
27		Lhotka u Radnic 1133824 Břasy 1		2	Čechy	Lhotka u Radnic	2	3,8 km²	Plzeňský (CZ032)	CZ0326 559946	397 m n. m.	Rokycany		Rokycany (CZ0326)	338 26	58 (2018)[1] (e)	Radnice	Lodl Pavel	obec	2	49°53′24″ s. š., 13°34′54″ v. d.
28			Liblín 47331 41 Kralovice	1	Čechy	Liblín	1	6,04 km²	Plzeňský (CZ032)	CZ0326 559954	312 m n. m.	Rokycany		Rokycany (CZ0326)	331 41	273 (2018)[1] (e)	Radnice	Ester Laláková, DiS.	městys	2	49°55′ s. š., 13°32′39″ v. d.
29		Líšná 3933808 Zbiroh		1	Čechy	Líšná (okres Rokycany)	1	18,83 km²	Plzeňský (CZ032)	CZ0326 559962	527 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	193 (2018)[1] (e)	Zbiroh	Radek Kovanda	obec	2	49°53′6″ s. š., 13°48′23″ v. d.
30		Litohlavy 64337 01 Rokycany 1		1	Čechy	Litohlavy	1	7,25 km²	Plzeňský (CZ032)	CZ0326 553611	403 m n. m.		Rokycany	Rokycany (CZ0326)	337 01	516 (2018)[1] (e)		Ing. Milan Preťo	obec	1	49°46′0″ s. š., 13°33′53″ v. d.
31		Medový Újezd 1033701 Rokycany 1		1	Čechy	Medový Újezd	1	13,3 km²	Plzeňský (CZ032)	CZ0326 579009	451 m n. m.		Rokycany	Rokycany (CZ0326)	337 01	247 (2018)[1] (e)		Jaroslava Šrámková	obec	1	49°46′26″ s. š., 13°43′9″ v. d.
32		Mešno 2933843 Mirošov 1		1	Čechy	Mešno	1	5,81 km²	Plzeňský (CZ032)	CZ0326 579084	492 m n. m.		Rokycany	Rokycany (CZ0326)	338 43	85 (2018)[1] (e)		Ing. Vladimír Petr	obec	1	49°39′21″ s. š., 13°37′19″ v. d.
33	náměstí Míru 53Mirošov33843 Mirošov 1			2	Čechy	Mirošov	2	13,62 km²	Plzeňský (CZ032)	CZ0326 559997	457 m n. m.		Rokycany	Rokycany (CZ0326)	338 43	2 234 (2018)[1] (e)		Vlastimil Sýkora	město	4	49°41′17″ s. š., 13°39′29″ v. d.
34		Mlečice 1133808 Zbiroh		3	Čechy	Mlečice	2	10,66 km²	Plzeňský (CZ032)	CZ0326 560006	392 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	313 (2018)[1] (e)	Zbiroh	Václav Král	obec	3	49°55′13″ s. š., 13°41′46″ v. d.
35	Náměstí 109Mýto33805 Mýto v Čechách			1	Čechy	Mýto	1	17,79 km²	Plzeňský (CZ032)	CZ0326 560014	443 m n. m.		Rokycany	Rokycany (CZ0326)	338 05	1 565 (2018)[1] (e)		František Končel	město	2	49°47′21″ s. š., 13°44′5″ v. d.
36		Němčovice 37A338 29 Němčovice		2	Čechy	Němčovice	2	11 km²	Plzeňský (CZ032)	CZ0326 566837	395 m n. m.	Rokycany		Rokycany (CZ0326)	338 29	168 (2018)[1] (e)	Radnice	–	obec	2	49°52′37″ s. š., 13°34′30″ v. d.
37		Nevid 1433701 Rokycany 1		1	Čechy	Nevid	1	4,88 km²	Plzeňský (CZ032)	CZ0326 541192	499 m n. m.		Rokycany	Rokycany (CZ0326)	337 01	177 (2018)[1] (e)		Václav Tomášů	obec	1	49°41′8″ s. š., 13°36′20″ v. d.
38		Osek 1833821 Osek u Rokycan		2	Čechy	Osek (okres Rokycany)	2	18,07 km²	Plzeňský (CZ032)	CZ0326 560057	403 m n. m.		Rokycany	Rokycany (CZ0326)	338 21	1 359 (2018)[1] (e)		Jaroslav Peroutka	obec	3	49°46′41″ s. š., 13°35′28″ v. d.
39		Obecní úřad Ostrovec-Lhotka,Lhotka 64, 338 08 Zbiroh		2	Čechy	Ostrovec-Lhotka	2	20,14 km²	Plzeňský (CZ032)	CZ0326 566993	395 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	98 (2018)[1] (e)	Zbiroh	MVDr. Václav Vozák	obec	2	49°55′5″ s. š., 13°43′35″ v. d.
40		Plískov 6333808 Zbiroh		1	Čechy	Plískov	1	3,33 km²	Plzeňský (CZ032)	CZ0326 566861	463 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	123 (2018)[1] (e)	Zbiroh	Radek Škrdlant	obec	1	49°50′37″ s. š., 13°44′7″ v. d.
41		Podmokly 15633808 Zbiroh		1	Čechy	Podmokly (okres Rokycany)	1	8,61 km²	Plzeňský (CZ032)	CZ0326 560081	398 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	253 (2018)[1] (e)	Zbiroh	Luboš Souček	obec	1	49°56′36″ s. š., 13°42′16″ v. d.
42		Příkosice 128338 43 Mirošov 1		1	Čechy	Příkosice	1	7,1 km²	Plzeňský (CZ032)	CZ0326 579131	495 m n. m.		Rokycany	Rokycany (CZ0326)	338 43	436 (2018)[1] (e)		Jan Šmolík	obec	1	49°40′6″ s. š., 13°39′49″ v. d.
43		Přívětice 76338 28 Radnice u Rokycan		2	Čechy	Přívětice	2	20,64 km²	Plzeňský (CZ032)	CZ0326 560111	427 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	205 (2018)[1] (e)	Radnice	Ing. Marcela Judlová	obec	2	49°50′5″ s. š., 13°36′44″ v. d.
44	náměstí Kašpara Šternberka 363Radnice33828 Radnice u Rokycan			2	Čechy	Radnice (okres Rokycany)	1	10,64 km²	Plzeňský (CZ032)	CZ0326 560120	382 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	1 798 (2018)[1] (e)	Radnice	Ing. Jan Altman	město	2	49°51′25″ s. š., 13°36′21″ v. d.
